"","","","E","","","","E","","","","E","","","","E"
"Uscana","lariophaga","","WOC","Uscana","lariophaga","","WOC","Uscana","lariophaga","","WOC","Uscana","lariophaga","","WOC"
"Uscana","mukerjii","","WOC","Uscana","mukerjii","","WOC","Uscana","mukerjii","","WOC","Uscana","mukerjii","","WOC"
"Uscana","olgae","","WOC","Uscana","olgae","","WOC","Uscana","olgae","","WOC","Uscana","olgae","","WOC"
"Uscana","semifumipennis","","WOC","Uscana","semifumipennis","","WOC","Uscana","semifumipennis","","WOC","Uscana","semifumipennis","","WOC"
"Uscana","senex","","WOC","Uscana","senex","","WOC","Uscana","senex","","WOC","Uscana","senex","","WOC"
"Uscana","spermophagi","","WOC","Uscana","spermophagi","","WOC","Uscana","spermophagi","","WOC","Uscana","spermophagi","","WOC"
"Uscanoidea","aliciae","","WOC","Uscanoidea","aliciae","","WOC","Uscanoidea","aliciae","","WOC","Uscanoidea","aliciae","","WOC"
"Uscanoidea","parviclavata","","WOC","Uscanoidea","parviclavata","","WOC","Uscanoidea","parviclavata","","WOC","Uscanoidea","parviclavata","","WOC"
"Uscanoidea","silvestrii","","WOC","Uscanoidea","silvestrii","","WOC","Uscanoidea","silvestrii","","WOC","Uscanoidea","silvestrii","","WOC"
"Xenoencyrtus","","","EE","Xenoencyrtus","","","EE","Xenoencyrtus","","","EE","Xenoencyrtus","","","EE"
"Xenoencyrtus","hemipterus","","EE","Xenoencyrtus","hemipterus","","EE","Xenoencyrtus","hemipterus","","EE","Xenoencyrtus","hemipterus","","EE"
"Xenoencyrtus","megymeni","","EE","Xenoencyrtus","megymeni","","EE","Xenoencyrtus","megymeni","","EE","Xenoencyrtus","megymeni","","EE"
"Xenoencyrtus","niger","","EE","Xenoencyrtus","niger","","EE","Xenoencyrtus","niger","","EE","Xenoencyrtus","niger","","EE"
"Xenoencyrtus","rubricatus","","EE","Xenoencyrtus","rubricatus","","EE","Xenoencyrtus","rubricatus","","EE","Xenoencyrtus","rubricatus","","EE"
"Xenufens","forsythi","","WTT","Xenufens","forsythi","","WTT","Xenufens","forsythi","","WTT","Xenufens","forsythi","","WTT"
"Xenufens","ruskini","","WTT","Xenufens","ruskini","","WTT","Xenufens","ruskini","","WTT","Xenufens","ruskini","","WTT"
"Xiphogramma","fuscum","","WOC","Xiphogramma","fuscum","","WOC","Xiphogramma","fuscum","","WOC","Xiphogramma","fuscum","","WOC"
"Zaga","latipennis","","WOC","Zaga","latipennis","","WOC","Zaga","latipennis","","WOC","Zaga","latipennis","","WOC"
"Zagella","","","WOC","Zagella","","","WOC","Zagella","","","WOC","Zagella","","","WOC"
"Zagella","delicata","","WOC","Zagella","delicata","","WOC","Zagella","delicata","","WOC","Zagella","delicata","","WOC"
"Zagella","flavipes","","WOC","Zagella","flavipes","","WOC","Zagella","flavipes","","WOC","Zagella","flavipes","","WOC"
"Zagella","nanula","","WOC","Zagella","nanula","","WOC","Zagella","nanula","","WOC","Zagella","nanula","","WOC"
"Zaischnopsis","bouceki","","IE","Zaischnopsis","bouceki","","IE","Zaischnopsis","bouceki","","IE","Zaischnopsis","bouceki","","IE"
"Zaischnopsis","locustae","","IE","Zaischnopsis","locustae","","IE","Zaischnopsis","locustae","","IE","Zaischnopsis","locustae","","IE"
"Zaischnopsis","usingeri","","IE","Zaischnopsis","usingeri","","IE","Zaischnopsis","usingeri","","IE","Zaischnopsis","usingeri","","IE"
"Zaischnopsis","xanthocola","","IE","Zaischnopsis","xanthocola","","IE","Zaischnopsis","xanthocola","","IE","Zaischnopsis","xanthocola","","IE"
"Zaommoencyrtus","brachytarsus","","EE","Zaommoencyrtus","brachytarsus","","EE","Zaommoencyrtus","brachytarsus","","EE","Zaommoencyrtus","brachytarsus","","EE"
"Zdenekiella","deon","","EE","Zdenekiella","deon","","EE","Zdenekiella","deon","","EE","Zdenekiella","deon","","EE"

